node,distance_km,hmax_m,hmax_time_h,safe_depth_m,design_depth_m,exceeds_safe,exceeds_design
320,13.995914,2.718409,14.000000,3.456000,3.840000,False,False
321,14.039584,2.714801,14.000000,3.456000,3.840000,False,False
322,14.083254,2.711163,14.000000,3.456000,3.840000,False,False
323,14.126925,2.707495,14.000000,3.456000,3.840000,False,False
324,14.170595,2.703797,14.000000,3.456000,3.840000,False,False
325,14.214266,2.700068,14.000000,3.456000,3.840000,False,False
326,14.257936,2.696308,14.000000,3.456000,3.840000,False,False
327,14.301607,2.692516,14.000000,3.456000,3.840000,False,False
328,14.345277,2.688692,14.000000,3.456000,3.840000,False,False
329,14.388948,2.684836,14.000000,3.456000,3.840000,False,False
330,14.432618,2.680946,14.000000,3.456000,3.840000,False,False
331,14.476288,2.677023,14.000000,3.456000,3.840000,False,False
332,14.519959,2.673065,14.000000,3.456000,3.840000,False,False
333,14.563629,2.669073,14.000000,3.456000,3.840000,False,False
334,14.607300,2.665045,14.000000,3.456000,3.840000,False,False
335,14.650970,2.660982,14.000000,3.456000,3.840000,False,False
336,14.694641,2.656883,14.000000,3.456000,3.840000,False,False
337,14.738311,2.652746,14.000000,3.456000,3.840000,False,False
338,14.781981,2.648572,14.000000,3.456000,3.840000,False,False
339,14.825652,2.644360,14.000000,3.456000,3.840000,False,False
340,14.869322,2.640109,14.000000,3.456000,3.840000,False,False
341,14.912993,2.635819,14.000000,3.456000,3.840000,False,False
342,14.956663,2.631489,14.000000,3.456000,3.840000,False,False
343,15.000334,2.627118,14.000000,3.456000,3.840000,False,False
344,15.044004,2.622705,14.000000,3.456000,3.840000,False,False
345,15.087674,2.618251,14.000000,3.456000,3.840000,False,False
346,15.131345,2.613754,14.000000,3.456000,3.840000,False,False
347,15.175015,2.609212,14.000000,3.456000,3.840000,False,False
348,15.218686,2.604643,14.000000,3.456000,3.840000,False,False
349,15.261598,2.600052,14.000000,3.456000,3.840000,False,False
350,15.305268,2.595397,14.000000,3.456000,3.840000,False,False
351,15.348939,2.590670,14.000000,3.456000,3.840000,False,False
352,15.392609,2.585896,14.000000,3.456000,3.840000,False,False
353,15.436280,2.581073,14.000000,3.456000,3.840000,False,False
354,15.479950,2.576201,14.000000,3.456000,3.840000,False,False
355,15.523621,2.571279,14.000000,3.456000,3.840000,False,False
356,15.567291,2.566304,14.000000,3.456000,3.840000,False,False
357,15.610961,2.561278,14.000000,3.456000,3.840000,False,False
358,15.654632,2.556198,14.000000,3.456000,3.840000,False,False
359,15.698302,2.551064,14.000000,3.456000,3.840000,False,False
360,15.741973,2.545874,14.000000,3.456000,3.840000,False,False
361,15.785643,2.540627,14.000000,3.456000,3.840000,False,False
362,15.829314,2.535323,14.000000,3.456000,3.840000,False,False
363,15.872984,2.529960,14.000000,3.456000,3.840000,False,False
364,15.916654,2.524536,14.000000,3.456000,3.840000,False,False
365,15.960325,2.519051,14.000000,3.456000,3.840000,False,False
366,16.003995,2.513503,14.000000,3.456000,3.840000,False,False
367,16.047666,2.507891,14.000000,3.456000,3.840000,False,False
368,16.091336,2.502213,14.000000,3.456000,3.840000,False,False
369,16.135007,2.496468,14.000000,3.456000,3.840000,False,False
370,16.178677,2.490655,14.000000,3.456000,3.840000,False,False
371,16.222348,2.484772,14.000000,3.456000,3.840000,False,False
372,16.266018,2.478817,14.000000,3.456000,3.840000,False,False
373,16.309688,2.472788,14.000000,3.456000,3.840000,False,False
374,16.353359,2.466685,14.000000,3.456000,3.840000,False,False
375,16.397029,2.460505,14.000000,3.456000,3.840000,False,False
376,16.440700,2.454246,14.000000,3.456000,3.840000,False,False
377,16.484370,2.447906,14.000000,3.456000,3.840000,False,False
378,16.528041,2.441484,14.000000,3.456000,3.840000,False,False
379,16.571711,2.434977,14.000000,3.456000,3.840000,False,False
380,16.615381,2.428383,14.000000,3.456000,3.840000,False,False
381,16.659052,2.421700,14.000000,3.456000,3.840000,False,False
382,16.702722,2.415151,14.000000,3.456000,3.840000,False,False
383,16.739118,2.408851,14.000000,3.456000,3.840000,False,False
384,16.782789,2.402246,14.000000,3.456000,3.840000,False,False
385,16.826459,2.395210,14.000000,3.456000,3.840000,False,False
386,16.870130,2.388072,14.000000,3.456000,3.840000,False,False
387,16.913800,2.380830,14.000000,3.456000,3.840000,False,False
388,16.957470,2.373482,14.000000,3.456000,3.840000,False,False
389,17.001141,2.366023,14.000000,3.456000,3.840000,False,False
390,17.044811,2.358451,14.000000,3.456000,3.840000,False,False
391,17.088482,2.350762,14.000000,3.456000,3.840000,False,False
392,17.132152,2.342953,14.000000,3.456000,3.840000,False,False
393,17.175823,2.335020,14.000000,3.456000,3.840000,False,False
394,17.219493,2.326959,14.000000,3.456000,3.840000,False,False
395,17.263163,2.318766,14.000000,3.456000,3.840000,False,False
396,17.306834,2.310437,14.000000,3.456000,3.840000,False,False
397,17.350504,2.301967,14.000000,3.456000,3.840000,False,False
398,17.394175,2.293351,14.000000,3.456000,3.840000,False,False
399,17.437845,2.284585,14.000000,3.456000,3.840000,False,False
400,17.481516,2.275663,14.000000,3.456000,3.840000,False,False
401,17.525186,2.266579,14.000000,3.456000,3.840000,False,False
402,17.568856,2.257328,14.000000,3.456000,3.840000,False,False
403,17.612527,2.247903,14.000000,3.456000,3.840000,False,False
404,17.656197,2.238298,14.000000,3.456000,3.840000,False,False
405,17.699868,2.228505,14.000000,3.456000,3.840000,False,False
406,17.743538,2.218517,14.000000,3.456000,3.840000,False,False
407,17.787209,2.208326,14.000000,3.456000,3.840000,False,False
408,17.830879,2.197924,14.000000,3.456000,3.840000,False,False
409,17.874549,2.187301,14.000000,3.456000,3.840000,False,False
410,17.918220,2.176448,14.000000,3.456000,3.840000,False,False
411,17.961890,2.165355,14.000000,3.456000,3.840000,False,False
412,18.005561,2.154010,14.000000,3.456000,3.840000,False,False
413,18.049231,2.142401,14.000000,3.456000,3.840000,False,False
414,18.092902,2.130516,14.000000,3.456000,3.840000,False,False
415,18.136572,2.118341,14.000000,3.456000,3.840000,False,False
416,18.180242,2.105860,14.000000,3.456000,3.840000,False,False
417,18.223913,2.093058,14.000000,3.456000,3.840000,False,False
418,18.267583,2.079917,14.000000,3.456000,3.840000,False,False
419,18.311254,2.066418,14.000000,3.456000,3.840000,False,False
420,18.354924,2.052539,14.000000,3.456000,3.840000,False,False
421,18.398595,2.038259,14.000000,3.456000,3.840000,False,False
422,18.442265,2.023551,14.000000,3.456000,3.840000,False,False
423,18.485935,2.008388,14.000000,3.456000,3.840000,False,False
424,18.529606,1.992740,14.000000,3.456000,3.840000,False,False
425,18.573276,1.976573,14.000000,3.456000,3.840000,False,False
426,18.616947,1.959848,14.000000,3.456000,3.840000,False,False
427,18.660617,1.942524,14.000000,3.456000,3.840000,False,False
428,18.704288,1.924552,14.000000,3.456000,3.840000,False,False
429,18.747958,1.905879,14.000000,3.456000,3.840000,False,False
430,18.791628,1.886444,14.000000,3.456000,3.840000,False,False
431,18.835299,1.866175,14.000000,3.456000,3.840000,False,False
432,18.878969,1.843859,14.000000,3.456000,3.840000,False,False
433,18.936139,1.822338,14.000000,3.456000,3.840000,False,False
434,18.979809,1.812521,14.000000,3.456000,3.840000,False,False
435,19.023480,1.812385,14.000000,3.456000,3.840000,False,False
436,19.067150,1.812287,14.000000,3.456000,3.840000,False,False
437,19.110821,1.812189,14.000000,3.456000,3.840000,False,False
438,19.154491,1.812093,14.000000,3.456000,3.840000,False,False
439,19.198161,1.811999,14.000000,3.456000,3.840000,False,False
440,19.241832,1.811906,14.000000,3.456000,3.840000,False,False
441,19.285502,1.811814,14.000000,3.456000,3.840000,False,False
442,19.329173,1.811725,14.000000,3.456000,3.840000,False,False
