node,distance_km,hmax_m,hmax_time_h,safe_depth_m,design_depth_m,exceeds_safe,exceeds_design
-1000307,0.310000,2.565513,14.000000,3.456000,3.840000,False,False
-1000308,0.311000,2.566223,14.000000,3.456000,3.840000,False,False
-1000309,0.312000,2.566934,14.000000,3.456000,3.840000,False,False
-1000310,0.313000,2.567645,14.000000,3.456000,3.840000,False,False
-1000311,0.314000,2.568357,14.000000,3.456000,3.840000,False,False
-1000312,0.315000,2.569068,14.000000,3.456000,3.840000,False,False
-1000313,0.316000,2.569780,14.000000,3.456000,3.840000,False,False
-1000314,0.317000,2.570492,14.000000,3.456000,3.840000,False,False
-1000315,0.318000,2.571205,14.000000,3.456000,3.840000,False,False
-1000316,0.319000,2.571917,14.000000,3.456000,3.840000,False,False
-1000317,0.320000,2.572630,14.000000,3.456000,3.840000,False,False
-1000318,0.321000,2.573343,14.000000,3.456000,3.840000,False,False
-1000319,0.322000,2.574057,14.000000,3.456000,3.840000,False,False
-1000320,0.323000,2.574771,14.000000,3.456000,3.840000,False,False
-1000321,0.324000,2.575485,14.000000,3.456000,3.840000,False,False
-1000322,0.325000,2.576199,14.000000,3.456000,3.840000,False,False
-1000323,0.326000,2.576914,14.000000,3.456000,3.840000,False,False
-1000324,0.327000,2.577628,14.000000,3.456000,3.840000,False,False
-1000325,0.328000,2.578344,14.000000,3.456000,3.840000,False,False
-1000326,0.329000,2.579059,14.000000,3.456000,3.840000,False,False
-1000327,0.330000,2.579775,14.000000,3.456000,3.840000,False,False
-1000328,0.331000,2.580490,14.000000,3.456000,3.840000,False,False
-1000329,0.332000,2.581207,14.000000,3.456000,3.840000,False,False
-1000330,0.333000,2.581923,14.000000,3.456000,3.840000,False,False
-1000331,0.334000,2.582640,14.000000,3.456000,3.840000,False,False
-1000332,0.335000,2.583357,14.000000,3.456000,3.840000,False,False
-1000333,0.336000,2.584074,14.000000,3.456000,3.840000,False,False
-1000334,0.337000,2.584792,14.000000,3.456000,3.840000,False,False
-1000335,0.338000,2.585509,14.000000,3.456000,3.840000,False,False
-1000336,0.339000,2.586227,14.000000,3.456000,3.840000,False,False
-1000337,0.340000,2.586946,14.000000,3.456000,3.840000,False,False
-1000338,0.341000,2.587664,14.000000,3.456000,3.840000,False,False
-1000339,0.342000,2.588383,14.000000,3.456000,3.840000,False,False
-1000340,0.343000,2.589102,14.000000,3.456000,3.840000,False,False
-1000341,0.344000,2.589822,14.000000,3.456000,3.840000,False,False
-1000342,0.345000,2.590541,14.000000,3.456000,3.840000,False,False
-1000343,0.346000,2.591261,14.000000,3.456000,3.840000,False,False
-1000344,0.347000,2.591981,14.000000,3.456000,3.840000,False,False
-1000345,0.348000,2.592702,14.000000,3.456000,3.840000,False,False
-1000346,0.349000,2.593423,14.000000,3.456000,3.840000,False,False
8,0.349363,2.593684,14.000000,3.456000,3.840000,False,False
-1000347,0.350000,2.594143,14.000000,3.456000,3.840000,False,False
